         4502012 function calls (4491405 primitive calls) in 32.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      356    0.006    0.000    0.007    0.000 {_io.open}
        1    0.006    0.006    0.006    0.006 {cPickle.load}
     7500    0.006    0.000    0.053    0.000 _methods.py:25(_amax)
     1230    0.006    0.000    0.006    0.000 {open}
    21538    0.006    0.000    0.006    0.000 {min}
    30135    0.006    0.000    0.006    0.000 {method 'pack' of 'Struct' objects}
      992    0.005    0.000    0.006    0.000 version.py:343(_cmpkey)
10999/10981    0.005    0.000    0.008    0.000 {method 'join' of 'str' objects}
     7500    0.005    0.000    0.005    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     7567    0.005    0.000    0.007    0.000 core.py:6028(isMaskedArray)
    16439    0.005    0.000    0.018    0.000 sre_parse.py:212(get)
     1035    0.005    0.000    0.048    0.000 ElementTree.py:607(__init__)
     7764    0.005    0.000    0.005    0.000 {method 'index' of 'list' objects}
     7500    0.005    0.000    0.009    0.000 base.py:887(isspmatrix)
     7515    0.005    0.000    0.005    0.000 _Vector3.py:26(__init__)
      966    0.005    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.005    0.005   32.800   32.800 fast_slam.py:2(<module>)
     1004    0.005    0.000    0.017    0.000 topics.py:689(add_callback)
  323/314    0.005    0.000    0.058    0.000 {__import__}
        1    0.005    0.005    0.015    0.015 contour.py:4(<module>)
       75    0.005    0.000    0.014    0.000 tcpros_pubsub.py:407(write_data)
    20422    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
 2411/879    0.005    0.000    0.006    0.000 sre_parse.py:151(getwidth)
        1    0.005    0.005    0.010    0.010 __init__.py:168(<module>)
     7705    0.005    0.000    0.005    0.000 {max}
     2561    0.004    0.000    0.005    0.000 lookup.py:57(__init__)
     2691    0.004    0.000    0.009    0.000 threading.py:147(acquire)
     2750    0.004    0.000    0.004    0.000 {method 'acquire' of 'thread.lock' objects}
     4833    0.004    0.000    0.017    0.000 genericpath.py:46(isdir)
      499    0.004    0.000    0.005    0.000 {method 'set_transform_static' of '_tf2.BufferCore' objects}
      526    0.004    0.000    0.105    0.000 __init__.py:1959(find_on_path)
     2888    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     2691    0.004    0.000    0.005    0.000 threading.py:187(release)
      198    0.004    0.000    0.004    0.000 {method 'read' of 'file' objects}
     7500    0.004    0.000    0.029    0.000 _methods.py:28(_amin)
2769/1233    0.004    0.000    0.004    0.000 ElementPath.py:98(select)
     1508    0.004    0.000    0.039    0.000 topics.py:1242(acquire_impl)
     7188    0.004    0.000    0.005    0.000 sre_parse.py:141(__getitem__)
      498    0.004    0.000    0.093    0.000 __init__.py:2356(from_location)
     1125    0.004    0.000    0.150    0.000 re.py:230(_compile)
        1    0.004    0.004    0.116    0.116 distributions.py:8(<module>)
        3    0.003    0.001    0.507    0.169 __init__.py:37(<module>)
       89    0.003    0.000    0.077    0.001 _distn_infrastructure.py:1409(__init__)
     7500    0.003    0.000    0.003    0.000 misc.py:169(_datacopied)
    15500    0.003    0.000    0.003    0.000 my_ros_independent_class.py:18(get_id)
     7000    0.003    0.000    0.003    0.000 my_ros_independent_class.py:26(get_measurement)
